Year,Actualized emission
Y0,907372520.5238696
Y1,814752458.7749861
Y2,780911736.6837298
Y3,724285784.0321054
Y4,691782952.212928
Y5,659384958.0466918
Y6,611248189.9599428
Y7,566966756.61231
Y8,526597223.34767485
Y9,487286300.8068141
Y10,459196848.5687855
Y11,430120215.7977749
Y12,402988890.2488135
Y13,376677246.8901359
Y14,332752855.93560594
Y15,311510471.40418905
Y16,289830224.6358439
Y17,264327332.0868261
Y18,242161007.0311532
Y19,222841362.50525847
Y20,205359693.71894473
Y21,188490024.60386962
Y22,174055530.43732902
Y23,161294641.80597425
Y24,148182605.48888874
Y25,136406950.514865
Y26,129250990.92416535
Y27,122685755.2203189
Y28,116427279.05358465
Y29,110372992.32696345
Y30,104649246.07663472
Y31,99672336.2312192
Y32,94922222.83775754
Y33,90398386.45888835
Y34,86283895.52725223
Y35,81933485.35458478
Y36,78121680.86602458
Y37,74397443.51747087
Y38,70854708.111877
Y39,67438249.1645189
Y40,64226903.966208465
Y41,61188139.22097055
Y42,58252078.61242544
Y43,55491452.22126317
Y44,52841186.892936066
Y45,50443689.29262417
Y46,47928917.105472624
Y47,46068588.26703475
Y48,44226694.70435835
Y49,42478246.75060353
Y50,41000874.96690639
