Year,Actualized cost
Y0,68148060102.790985
Y1,94974693511.80714
Y2,155867372898.6888
Y3,88565201315.25784
Y4,85719966706.53372
Y5,83291640938.98038
Y6,76973141738.09457
Y7,70933871615.41632
Y8,66499394104.2266
Y9,63590166567.25784
Y10,61051931082.844154
Y11,54890216212.78439
Y12,51386871312.92248
Y13,48744537036.2838
Y14,47007999001.03998
Y15,44294530657.340645
Y16,42540309285.28439
Y17,40741975581.542404
Y18,38116442709.25527
Y19,38246484712.01197
Y20,34047954049.668655
Y21,32649887844.35101
Y22,30940791084.165787
Y23,29285053673.819744
Y24,27376681479.512184
Y25,26501994863.044594
Y26,25020870510.46311
Y27,23526822192.630356
Y28,21907085431.409306
Y29,20717605116.75692
Y30,19707310859.72195
Y31,18704401275.621807
Y32,17282701294.829426
Y33,16454065793.043407
Y34,15470262862.228382
Y35,14951671805.961554
Y36,13892362959.759983
Y37,13203443869.929958
Y38,12581924185.921898
Y39,11973617670.96416
Y40,11528032559.822311
Y41,10961125589.038504
Y42,10403440736.271286
Y43,9867574074.911213
Y44,9371932889.098894
Y45,8897819607.015265
Y46,8400947659.624504
Y47,7955774354.932905
Y48,7583036460.304299
Y49,7294633961.129683
Y50,6994609948.48693
