,Datetime,Region,Technology,Emission,Value
0,2020,reg1,Oil_supply,CO2,38300580.563848376
1,2021,reg1,Oil_supply,CO2,38901142.593040444
2,2022,reg1,Oil_supply,CO2,41754627.663243055
3,2023,reg1,Oil_supply,CO2,40083395.340110585
4,2024,reg1,Oil_supply,CO2,40665086.04747074
5,2025,reg1,Oil_supply,CO2,41240486.30235696
6,2026,reg1,Oil_supply,CO2,40092899.389677554
7,2027,reg1,Oil_supply,CO2,38926577.10533102
8,2028,reg1,Oil_supply,CO2,37741721.81109667
9,2029,reg1,Oil_supply,CO2,33197877.758556657
10,2030,reg1,Oil_supply,CO2,35317266.15337035
11,2031,reg1,Oil_supply,CO2,34973548.86971348
12,2032,reg1,Oil_supply,CO2,34632580.82330693
13,2033,reg1,Oil_supply,CO2,34370569.370514445
14,2034,reg1,Oil_supply,CO2,33958892.44224482
15,2035,reg1,Oil_supply,CO2,33626172.107589245
16,2036,reg1,Oil_supply,CO2,32597302.489001315
17,2037,reg1,Oil_supply,CO2,31612944.418306123
18,2038,reg1,Oil_supply,CO2,28668540.309395775
19,2039,reg1,Oil_supply,CO2,26861076.312652446
20,2040,reg1,Oil_supply,CO2,25918190.902485266
21,2041,reg1,Oil_supply,CO2,24990545.668207847
22,2042,reg1,Oil_supply,CO2,24062900.42751147
23,2043,reg1,Oil_supply,CO2,23135255.187223013
24,2044,reg1,Oil_supply,CO2,22207609.945878547
25,2045,reg1,Oil_supply,CO2,21279964.711088423
26,2046,reg1,Oil_supply,CO2,21253702.87347079
27,2047,reg1,Oil_supply,CO2,21227441.03585322
28,2048,reg1,Oil_supply,CO2,21201179.198235624
29,2049,reg1,Oil_supply,CO2,21174917.360618047
30,2050,reg1,Oil_supply,CO2,21148655.523000468
31,2051,reg1,Oil_supply,CO2,21148655.523000468
32,2052,reg1,Oil_supply,CO2,21148655.523000475
33,2053,reg1,Oil_supply,CO2,21148655.523000468
34,2054,reg1,Oil_supply,CO2,21259294.008959748
35,2055,reg1,Oil_supply,CO2,21259294.008959748
36,2056,reg1,Oil_supply,CO2,21259294.008959744
37,2057,reg1,Oil_supply,CO2,21259294.008959748
38,2058,reg1,Oil_supply,CO2,21225697.267672822
39,2059,reg1,Oil_supply,CO2,21148655.523000464
40,2060,reg1,Oil_supply,CO2,21148655.523000464
41,2061,reg1,Oil_supply,CO2,21148655.523000464
42,2062,reg1,Oil_supply,CO2,21148655.523000464
43,2063,reg1,Oil_supply,CO2,21148655.523000464
44,2064,reg1,Oil_supply,CO2,21148655.523000464
45,2065,reg1,Oil_supply,CO2,21148655.523000464
46,2066,reg1,Oil_supply,CO2,21148655.523000464
47,2067,reg1,Oil_supply,CO2,21279964.71108839
48,2068,reg1,Oil_supply,CO2,21148655.523000464
49,2069,reg1,Oil_supply,CO2,21148655.52300046
50,2070,reg1,Oil_supply,CO2,21148655.523000464
51,2020,reg1,NG_supply,CO2,83320299.44716129
52,2021,reg1,NG_supply,CO2,72916118.8673457
53,2022,reg1,NG_supply,CO2,67851472.02531786
54,2023,reg1,NG_supply,CO2,74387664.1324456
55,2024,reg1,NG_supply,CO2,73004261.8295945
56,2025,reg1,NG_supply,CO2,71271689.3105039
57,2026,reg1,NG_supply,CO2,69290616.21997012
58,2027,reg1,NG_supply,CO2,67539675.4928477
59,2028,reg1,NG_supply,CO2,66049449.64211784
60,2029,reg1,NG_supply,CO2,64631228.11759945
61,2030,reg1,NG_supply,CO2,63597537.995665416
62,2031,reg1,NG_supply,CO2,61980401.47684091
63,2032,reg1,NG_supply,CO2,60775929.17592254
64,2033,reg1,NG_supply,CO2,58753516.32575851
65,2034,reg1,NG_supply,CO2,57465946.47927097
66,2035,reg1,NG_supply,CO2,56320040.73439689
67,2036,reg1,NG_supply,CO2,56563070.304700136
68,2037,reg1,NG_supply,CO2,56227623.18665489
69,2038,reg1,NG_supply,CO2,55638572.98340827
70,2039,reg1,NG_supply,CO2,55763821.80738419
71,2040,reg1,NG_supply,CO2,56057871.1224191
72,2041,reg1,NG_supply,CO2,57052223.56455101
73,2042,reg1,NG_supply,CO2,57595085.19367103
74,2043,reg1,NG_supply,CO2,58261566.76724826
75,2044,reg1,NG_supply,CO2,58539443.68043485
76,2045,reg1,NG_supply,CO2,58598225.653812885
77,2046,reg1,NG_supply,CO2,58476925.74377325
78,2047,reg1,NG_supply,CO2,58304338.24557188
79,2048,reg1,NG_supply,CO2,58085838.39723294
80,2049,reg1,NG_supply,CO2,57884345.40672184
81,2050,reg1,NG_supply,CO2,57611293.64529494
82,2051,reg1,NG_supply,CO2,57616068.80700751
83,2052,reg1,NG_supply,CO2,57616902.18403192
84,2053,reg1,NG_supply,CO2,57614655.58463949
85,2054,reg1,NG_supply,CO2,57801111.5662509
86,2055,reg1,NG_supply,CO2,57474840.13786624
87,2056,reg1,NG_supply,CO2,57552295.9316453
88,2057,reg1,NG_supply,CO2,57552295.93164529
89,2058,reg1,NG_supply,CO2,57550237.742390305
90,2059,reg1,NG_supply,CO2,57545518.043842256
91,2060,reg1,NG_supply,CO2,57545518.04384225
92,2061,reg1,NG_supply,CO2,57539293.87988926
93,2062,reg1,NG_supply,CO2,57539534.707871184
94,2063,reg1,NG_supply,CO2,57553610.76859074
95,2064,reg1,NG_supply,CO2,57502818.55305373
96,2065,reg1,NG_supply,CO2,57665788.32410152
97,2066,reg1,NG_supply,CO2,57354886.962230586
98,2067,reg1,NG_supply,CO2,57164179.20748652
99,2068,reg1,NG_supply,CO2,57453610.2560899
100,2069,reg1,NG_supply,CO2,57758034.95949753
101,2070,reg1,NG_supply,CO2,58619343.44135394
102,2020,reg1,SFF_supply,CO2,2185148.470721184
103,2021,reg1,SFF_supply,CO2,2239359.1011650753
104,2022,reg1,SFF_supply,CO2,2237315.5855949987
105,2023,reg1,SFF_supply,CO2,722209.8735114189
106,2024,reg1,SFF_supply,CO2,859159.1339214543
107,2025,reg1,SFF_supply,CO2,996108.3893706108
108,2026,reg1,SFF_supply,CO2,958952.4833635949
109,2027,reg1,SFF_supply,CO2,921718.8359557376
110,2028,reg1,SFF_supply,CO2,884405.3733229592
111,2029,reg1,SFF_supply,CO2,919101.8141928641
112,2030,reg1,SFF_supply,CO2,1124886.4050196004
113,2031,reg1,SFF_supply,CO2,1214843.1683620962
114,2032,reg1,SFF_supply,CO2,1318781.7527350283
