Year,Actualized emission
Y0,907372520.5238695
Y1,817298724.1944054
Y2,783750383.8513588
Y3,748676297.6585268
Y4,713975718.6993507
Y5,679981741.043984
Y6,630588041.4068272
Y7,585165719.142136
Y8,544745031.1383843
Y9,507505406.817777
Y10,472490186.4388262
Y11,439936214.3735901
Y12,411193756.45089114
Y13,383866998.0733374
Y14,358642714.3387284
Y15,335201840.8740957
Y16,312640101.7301959
Y17,291025338.03343284
Y18,269661754.5562596
Y19,250334277.04346755
Y20,232394702.39766118
Y21,210218728.23844507
Y22,192144028.2274181
Y23,173640012.95013765
Y24,155904137.00941426
Y25,140894357.4396115
Y26,133462946.32345366
Y27,126527145.6895294
Y28,119904746.50555873
Y29,113877185.17264816
Y30,107993200.55486846
Y31,102848298.09758854
Y32,97951580.41763678
Y33,93288587.02504563
Y34,88939157.47185625
Y35,84454116.4918227
Y36,80521111.01518033
Y37,76686772.39540984
Y38,73035021.32896177
Y39,69557163.17043976
Y40,66244917.30518072
Y41,63078863.42397783
Y42,60082780.153529525
Y43,57224850.27982355
Y44,54504966.8439405
Y45,51962218.34675565
Y46,49373965.058119796
Y47,46745667.81556269
Y48,44525468.58195925
Y49,42474733.45607964
Y50,40556808.37602501
