Year,Actualized cost
Y0,68148060102.790985
Y1,94974693511.80714
Y2,155867372898.6888
Y3,88565201315.25784
Y4,85719966706.53372
Y5,83291640938.98038
Y6,76973141738.09457
Y7,70933871615.41632
Y8,66499394104.22663
Y9,63821263603.75643
Y10,60667067372.2596
Y11,54080257588.43898
Y12,52289950206.55928
Y13,48922146987.314156
Y14,47322670067.33818
Y15,45442352441.36328
Y16,42040513777.43336
Y17,40477614934.282074
Y18,37877843620.0391
Y19,37135934687.92816
Y20,33653505031.76941
Y21,32587275764.342064
Y22,30295089428.561543
Y23,29278186584.76416
Y24,26828388044.048515
Y25,25766134436.119473
Y26,24296775820.475704
Y27,22925846259.721985
Y28,21349054355.412415
Y29,20157820312.835735
Y30,19106192234.299652
Y31,17894886091.37846
Y32,16727755258.532862
Y33,15802272221.321125
Y34,15132495640.972002
Y35,14515762137.089397
Y36,13493338905.548712
Y37,12839695755.404816
Y38,12214072330.697197
Y39,11596864764.386839
Y40,11195143699.558851
Y41,10612937688.010748
Y42,10150149009.10245
Y43,9577216347.212385
Y44,9089321819.78274
Y45,8585152759.826453
Y46,8131976374.531807
Y47,7693424536.768917
Y48,7304934354.679811
Y49,7044599503.066358
Y50,6764907634.995516
